steamid,nJuegos,Indie,Action,Adventure,Strategy,Simulation,RPG,Free to Play,Early Access,Massively Multiplayer,Sports,Violent,Racing,Multiplayer,Singleplayer,Gore,Puzzle,Horror,Shooter,FPS,First-Person,Survival,Difficult,Rogue-like,Platformer,Turn-Based Strategy,Psychological Horror,Action RPG,RTS,MMORPG,JRPG,Zombies
76561197960265729,35,6,32,8,2,0,1,2,1,0,0,1,0,24,14,3,2,2,29,30,29,1,0,0,1,0,0,0,0,0,0,4
76561197960265730,290,85,107,90,55,61,33,51,23,6,8,2,8,98,84,4,17,8,49,48,66,18,9,3,6,14,1,1,2,4,0,7
76561197960265731,330,72,157,84,72,68,32,56,28,7,21,4,15,143,96,11,9,11,67,63,71,27,11,3,4,17,2,2,10,0,0,11
76561197960265733,455,191,224,156,76,70,79,62,30,9,11,7,14,147,151,12,41,21,70,71,91,32,19,13,35,14,7,13,6,4,2,18
76561197960265734,15,0,15,2,0,0,0,0,1,1,1,0,1,13,5,0,0,1,14,14,12,2,0,0,0,0,0,0,0,0,0,2
76561197960265735,30,0,26,9,1,0,4,0,0,1,0,0,0,17,15,0,2,4,24,25,28,1,0,0,1,1,0,0,1,1,0,4
76561197960265738,268,92,122,84,24,31,24,56,12,5,12,5,8,85,67,4,29,9,48,48,52,8,14,6,20,4,2,2,0,1,0,8
76561197960265741,20,1,20,6,0,1,0,4,0,0,0,0,0,13,8,1,1,0,18,20,20,0,0,0,1,0,0,0,0,0,0,1
76561197960265743,312,75,136,75,31,26,29,51,12,2,11,5,6,94,83,7,38,12,62,60,61,6,7,4,13,10,4,4,8,1,0,10
76561197960265744,146,36,89,67,17,20,14,9,13,3,3,1,3,53,85,6,17,14,41,38,64,30,1,2,11,1,2,2,0,0,0,11
76561197960265745,67,11,47,23,4,4,16,4,1,0,0,0,1,24,36,2,4,9,32,32,40,6,3,1,2,1,1,1,0,0,0,4
76561197960265747,276,54,163,79,28,28,28,18,22,12,13,7,10,115,99,13,32,17,68,60,67,26,11,3,18,5,2,5,3,4,1,15
76561197960265748,25,0,25,6,0,0,0,1,0,0,0,0,0,17,13,0,1,2,24,24,24,1,0,0,1,0,0,0,0,0,0,4
76561197960265749,6493,2820,2671,1906,1255,1233,936,106,534,77,313,189,218,1003,1679,223,504,339,497,443,484,233,227,144,342,188,125,86,194,16,80,160
