steamid,nJuegos,VALVE
76561197960265729,35,1
76561197960265730,290,1
76561197960265731,330,1
76561197960265733,455,1
76561197960265734,15,0
76561197960265735,30,0
76561197960265738,268,1
76561197960265741,20,0
76561197960265743,312,1
76561197960265744,146,0
76561197960265745,67,0
76561197960265747,276,1
76561197960265748,25,0
76561197960265749,6493,1
76561197960265751,1,0
76561197960265753,1,0
76561197960265754,1636,1
76561197960265755,17,0
76561197960265756,26,0
76561197960265767,42,0
76561197960265778,611,0
76561197960265779,77,0
76561197960265781,368,0
76561197960265792,27,0
76561197960265793,337,0
76561197960265796,49,0
76561197960265806,203,0
76561197960265817,57,0
76561197960265822,326,0
76561197960265823,41,0
76561197960265826,66,0
76561197960265836,125,0
76561197960265838,509,1
76561197960265839,235,0
76561197960265841,37,0
76561197960265844,129,0
76561197960265847,10,0
76561197960265849,12,0
76561197960265851,165,0
76561197960265854,119,0
76561197960265861,59,0
76561197960265862,24,0
76561197960265866,19,0
76561197960265867,52,0
76561197960265874,17,0
76561197960265876,184,0
76561197960265879,20,0
76561197960265881,16,0
76561197960265884,21,0
76561197960265885,32,0
76561197960265895,13,0
76561197960265901,144,0
76561197960265906,42,0
76561197960265908,44,0
76561197960265909,37,0
76561197960265915,2,0
76561197960265916,118,0
76561197960265917,451,0
76561197960265919,17,0
76561197960265924,28,0
76561197960265928,17,0
76561197960265929,8,0
76561197960265937,33,0
76561197960265940,3,0
76561197960265942,1038,0
76561197960265945,201,0
76561197960265948,17,0
76561197960265954,8,0
76561197960265957,109,0
76561197960265961,125,0
76561197960265973,18,0
76561197960265974,12,0
76561197960265980,27,0
76561197960265984,8,0
76561197960265988,34,0
76561197960265992,135,0
76561197960265993,12,0
76561197960265994,8,0
76561197960265999,257,0
76561197960266008,17,0
76561197960266010,353,0
76561197960266012,36,0
76561197960266020,30,0
76561197960266030,14,0
76561197960266039,48,0
76561197960266042,8,0
76561197960266043,14,0
76561197960266044,362,0
76561197960266049,27,0
76561197960266065,9,0
76561197960266066,15,0
76561197960266071,60,0
76561197960266072,44,0
76561197960266073,331,0
76561197960266090,26,0
76561197960266092,41,0
76561197960266099,8,0
76561197960266102,15,0
76561197960266104,72,0
76561197960266113,22,0
76561197960266120,31,0
76561197960266124,11,0
76561197960266130,153,0
76561197960266131,8,0
76561197960266137,197,0
76561197960266142,147,0
76561197960266144,22,0
76561197960266146,104,0
76561197960266160,153,0
76561197960266163,8,0
76561197960266169,8,0
76561197960266172,164,0
76561197960266173,8,0
76561197960266174,269,0
76561197960266177,214,0
76561197960266188,10,0
76561197960266190,37,0
76561197960266193,26,0
76561197960266195,19,0
76561197960266212,33,0
76561197960266219,341,0
76561197960266225,165,0
76561197960266231,236,0
76561197960266235,8,0
76561197960266237,375,0
76561197960266239,8,0
76561197960266240,14,0
76561197960266244,21,0
76561197960266252,369,0
76561197960266264,137,0
76561197960266273,12,0
76561197960266275,17,0
76561197960266277,8,0
76561197960266278,47,0
76561197960266287,18,0
76561197960266292,567,0
76561197960266299,9,0
76561197960266301,20,0
76561197960266309,73,0
76561197960266316,18,0
76561197960266334,25,0
76561197960266340,18,0
76561197960266348,71,0
76561197960266350,16,0
76561197960266356,174,0
76561197960266370,327,0
76561197960266371,32,0
76561197960266389,8,0
76561197960266407,113,0
76561197960266416,17,0
76561197960266422,41,0
76561197960266423,42,0
76561197960266429,8,0
76561197960266440,290,0
76561197960266448,83,0
76561197960266455,400,0
76561197960266457,17,0
76561197960266471,19,0
76561197960266476,139,0
76561197960266481,13,0
76561197960266482,107,0
76561197960266484,50,0
76561197960266489,98,0
76561197960266493,38,0
76561197960266498,67,0
76561197960266501,742,0
76561197960266516,69,0
76561197960266519,146,0
76561197960266522,29,0
76561197960266526,56,0
76561197960266530,23,0
76561197960266531,664,0
76561197960266546,1457,0
76561197960266547,65,0
76561197960266549,8,0
76561197960266551,419,0
76561197960266553,13,0
76561197960266560,156,0
76561197960266561,189,0
76561197960266563,85,0
76561197960266564,118,0
76561197960266573,158,0
76561197960266579,1562,0
76561197960266580,40,0
76561197960266591,26,0
76561197960266615,127,0
76561197960266629,46,0
76561197960266632,8,0
76561197960266635,8,0
76561197960266640,422,0
76561197960266641,21,0
76561197960266642,117,0
76561197960266649,17,0
76561197960266678,47,0
76561197960266679,446,0
76561197960266685,8,0
76561197960266689,17,0
76561197960266692,158,0
76561197960266699,8,0
76561197960266700,31,0
76561197960266755,19,0
76561197960266758,15,0
76561197960266763,12,0
76561197960266780,8,0
76561197960266810,14,0
76561197960266818,357,0
76561197960266821,9,0
76561197960266823,58,0
76561197960266826,8,0
76561197960266831,21,0
76561197960266841,55,0
76561197960266845,63,0
76561197960266852,29,0
76561197960266859,12,0
76561197960266863,261,0
76561197960266865,29,0
76561197960266867,8,0
76561197960266870,8,0
76561197960266874,1060,0
76561197960266881,44,0
76561197960266882,119,0
76561197960266889,37,0
76561197960266896,10,0
76561197960266902,40,0
76561197960266904,440,0
76561197960266906,119,0
76561197960266910,18,0
76561197960266911,20,0
76561197960266912,72,0
76561197960266913,80,0
76561197960266915,41,0
76561197960266918,8,0
76561197960266923,52,0
76561197960266937,68,0
76561197960266945,2956,0
76561197960266952,10,0
76561197960266955,253,0
76561197960266960,137,0
76561197960266963,23,0
76561197960266964,17,0
76561197960266966,10,0
76561197960266967,17,0
76561197960266969,84,0
76561197960266970,336,0
76561197960266975,9,0
76561197960266977,159,0
76561197960266980,48,0
76561197960266987,16,0
76561197960267011,244,0
76561197960267012,44,0
76561197960267020,12,0
76561197960267022,119,0
76561197960267025,22,0
76561197960267034,8,0
76561197960267035,23,0
76561197960267039,155,0
76561197960267042,14,0
76561197960267044,24,0
76561197960267047,25,0
76561197960267051,8,0
76561197960267053,10,0
76561197960267054,12,0
76561197960267064,91,0
76561197960267068,136,0
76561197960267071,116,0
76561197960267078,17,0
76561197960267079,245,0
76561197960267085,17,0
76561197960267089,44,0
76561197960267091,10,0
76561197960267093,57,0
76561197960267097,73,0
76561197960267098,20,0
76561197960267100,27,0
76561197960267103,17,0
76561197960267107,8,0
76561197960267109,14,0
76561197960267113,77,0
76561197960267131,8,0
76561197960267136,8,0
76561197960267161,156,0
76561197960267164,11,0
76561197960267172,254,0
76561197960267175,16,0
76561197960267176,82,0
76561197960267184,92,0
76561197960267185,1050,0
76561197960267186,80,0
76561197960267196,10,0
76561197960267200,15,0
76561197960267207,23,0
76561197960267215,21,0
76561197960267219,15,0
